"team","sentiment","time"
"Steelers",0.0226333333333333,"55"
"49ers",0.30705,"55"
"Seahawks",0.8868,"55"
"Buccaneers",-0.7088,"55"
"Titans",0,"55"
"Football Team",0,"55"
"Cardinals",0.4201,"60"
"Falcons",0.0713666666666667,"60"
"Ravens",0,"60"
"Bills",0.9152,"60"
"Panthers",-0.556866666666667,"60"
"Bears",0.0772,"60"
"Bengals",0,"60"
"Browns",0.2873,"60"
"Cowboys",0.7293,"60"
"Broncos",0.498775,"60"
"Lions",-0.123133333333333,"60"
"Packers",0,"60"
"Texans",0,"60"
"Colts",0.1817,"60"
"Jaguars",0.31185,"60"
"Chiefs",0.91,"60"
"Chargers",0.0386,"60"
"Rams",0,"60"
"Dolphins",0.16275,"60"
"Vikings",0,"60"
"Patriots",0,"60"
"Saints",0.6312,"60"
"Giants",0,"60"
"Jets",0,"60"
"Raiders",0.6696,"60"
"Eagles",0.4077,"60"
"Steelers",0.0226333333333333,"60"
"49ers",0.30705,"60"
"Seahawks",0,"60"
"Buccaneers",-0.7088,"60"
"Titans",0,"60"
"Football Team",0,"60"
"Cardinals",0.4201,"65"
"Falcons",0.0713666666666667,"65"
"Ravens",0,"65"
"Bills",0.9152,"65"
"Panthers",-0.556866666666667,"65"
"Bears",0.0772,"65"
"Bengals",0,"65"
"Browns",0.2873,"65"
"Cowboys",0.7293,"65"
"Broncos",0.498775,"65"
"Lions",-0.123133333333333,"65"
"Packers",0,"65"
"Texans",0,"65"
"Colts",0.1817,"65"
"Jaguars",0.31185,"65"
"Chiefs",0.91,"65"
"Chargers",0.0386,"65"
"Rams",0,"65"
"Dolphins",0.16275,"65"
"Vikings",0,"65"
"Patriots",0,"65"
"Saints",0.6312,"65"
"Giants",0,"65"
"Jets",0,"65"
"Raiders",0.6696,"65"
"Eagles",0.4077,"65"
"Steelers",0.0226333333333333,"65"
"49ers",0.30705,"65"
"Seahawks",0,"65"
"Buccaneers",-0.7088,"65"
"Titans",0,"65"
"Football Team",0,"65"
"Cardinals",0.4201,"70"
"Falcons",0.0713666666666667,"70"
"Ravens",0,"70"
"Bills",0,"70"
"Panthers",-0.556866666666667,"70"
"Bears",0.0772,"70"
"Bengals",0,"70"
"Browns",0.2873,"70"
"Cowboys",0.7293,"70"
"Broncos",0.498775,"70"
"Lions",0.0812,"70"
"Packers",0,"70"
"Texans",0,"70"
"Colts",0.1817,"70"
"Jaguars",0.31185,"70"
"Chiefs",0.91,"70"
"Chargers",0.0386,"70"
"Rams",0,"70"
"Dolphins",0.16275,"70"
"Vikings",0,"70"
"Patriots",0,"70"
"Saints",0.6312,"70"
"Giants",0,"70"
"Jets",0,"70"
"Raiders",0.6696,"70"
"Eagles",0.4077,"70"
"Steelers",0.0226333333333333,"70"
"49ers",0.30705,"70"
"Seahawks",0,"70"
"Buccaneers",-0.7088,"70"
"Titans",0,"70"
"Football Team",0,"70"
